#separator:tab
#html:true
#notetype:Cloze
#deck:CompTIA A+
#columns:Text	Back Extra	tags
#tags column:3
USB 2.0 (released 2000) supports a maximum data rate of {{c1::480 Mbit/s}}.	<b>Context:</b> The "high-speed" USB generation, still common on peripherals; roughly 10&times; slower than USB 3.0, which matters when picking a port for an external drive.<br><span style="font-size:12px;color:#888">Notion &rarr; Chud Camp 2026 &rarr; Study Notes &sect;1.2 · 2026-07-13</span>	topic::mobile::usb source::notion::study-notes type::number context::cert::a-plus
USB 3.0 (released 2008) supports a maximum data rate of {{c1::5 Gbit/s}}.	<b>Context:</b> A ~10&times; jump over USB 2.0's 480 Mbit/s. Don't confuse with USB 3.1, the separate 10 Gbit/s spec from 2013.<br><span style="font-size:12px;color:#888">Notion &rarr; Chud Camp 2026 &rarr; Study Notes &sect;1.2 · 2026-07-13</span>	topic::mobile::usb source::notion::study-notes type::number context::cert::a-plus
USB 3.0 Type-A ports are typically colored {{c1::blue}} to distinguish them from USB 2.0.	<b>Context:</b> Quick visual ID when troubleshooting a slow external drive — a black port may only run at 2.0 speeds.<br><span style="font-size:12px;color:#888">Notion &rarr; Chud Camp 2026 &rarr; Study Notes &sect;1.2 · 2026-07-13</span>	topic::mobile::usb source::notion::study-notes type::gotcha context::cert::a-plus
The thin USB connector that succeeded Mini-USB on phones worldwide before USB-C was {{c1::Micro-USB}}.	<b>Context:</b> Also common on cameras and GPS units. Interference warning: Mini-USB came first and deprecated quickly; Micro is the later, flatter one.<br><span style="font-size:12px;color:#888">Notion &rarr; Chud Camp 2026 &rarr; Study Notes &sect;1.2 · 2026-07-13</span>	topic::mobile::usb source::notion::study-notes type::definition context::cert::a-plus
The USB-C connector has {{c1::24}} pins and works in either orientation (double-sided).	<b>Context:</b> Your highway analogy: more pins = more lanes = higher bandwidth and more features.<br><span style="font-size:12px;color:#888">Notion &rarr; Chud Camp 2026 &rarr; Study Notes &sect;1.2 · 2026-07-13</span>	topic::mobile::usb source::notion::study-notes type::number context::cert::a-plus
A USB-C port's data speed is determined by the {{c1::USB signaling spec (2.0/3.x/4) behind it}}, not by the plug shape.	<b>Context:</b> USB-C (published 2014) is a connector standard, not a speed standard — USB 3.1's 10 Gbit/s spec actually predates it by a year.<br><span style="font-size:12px;color:#888">Notion &rarr; Chud Camp 2026 &rarr; Study Notes &sect;1.2 · 2026-07-13</span>	topic::mobile::usb source::notion::study-notes type::concept context::cert::a-plus
A single USB-C port can drive an external monitor because the connector can also carry {{c1::DisplayPort/HDMI}} video signals.	<b>Context:</b> Different signals share the same connector — Thunderbolt 3/4 rides on USB-C the same way.<br><span style="font-size:12px;color:#888">Notion &rarr; Chud Camp 2026 &rarr; Study Notes &sect;1.2 · 2026-07-13</span>	topic::mobile::usb source::notion::study-notes type::concept context::cert::a-plus
Apple's proprietary {{c1::Lightning}} connector uses {{c2::8}} digital pins on iPhones and iPads.	<b>Context:</b> Advantages over Micro-USB: higher power output, insertable either way, simpler design.<br><span style="font-size:12px;color:#888">Notion &rarr; Chud Camp 2026 &rarr; Study Notes &sect;1.2 · 2026-07-13</span>	topic::mobile::connectors source::notion::study-notes type::definition context::cert::a-plus
Thunderbolt 1 and 2 used the {{c1::Mini DisplayPort}} connector, while Thunderbolt 3 and 4 use {{c2::USB-C}}.	<b>Context:</b> Thunderbolt is the Intel/Apple high-speed interface, successor to FireWire — the connector changed across generations.<br><span style="font-size:12px;color:#888">Notion &rarr; Chud Camp 2026 &rarr; Study Notes &sect;1.2 · 2026-07-13</span>	topic::mobile::connectors source::notion::study-notes type::comparison context::cert::a-plus
NFC works over a very short range — about {{c1::4 cm}} or less.	<b>Context:</b> The tiny range is a security feature for payments and access tokens; contrast Bluetooth's ~10 m.<br><span style="font-size:12px;color:#888">Notion &rarr; Chud Camp 2026 &rarr; Study Notes &sect;2.2 · 2026-07-13</span>	topic::networking::nfc source::notion::study-notes type::number context::cert::a-plus
The short-range technology that extends RFID with two-way communication is {{c1::NFC}}.	<b>Context:</b> RFID is mostly one-way tag reading; the two-way exchange is what enables payment terminals and in-person data transfer. Don't confuse with the RFID tracking card.<br><span style="font-size:12px;color:#888">Notion &rarr; Chud Camp 2026 &rarr; Study Notes &sect;2.2 · 2026-07-13</span>	topic::networking::nfc source::notion::study-notes type::comparison context::cert::a-plus
NFC can bootstrap other wireless connections — most commonly simplifying {{c1::Bluetooth pairing}}.	<b>Context:</b> Tap-to-pair on speakers and headphones: NFC exchanges the pairing info, then Bluetooth carries the audio.<br><span style="font-size:12px;color:#888">Notion &rarr; Chud Camp 2026 &rarr; Study Notes &sect;2.2 · 2026-07-13</span>	topic::networking::nfc source::notion::study-notes type::concept context::cert::a-plus
